S-Fe mol,Pollutant Con,S-nZVI Con,Temp,pH,SMILES,Kob
0.14,0.28,1,40,7,CS(=O)(=O)C1=CC=C(C=C1)C(C(CF)NC(=O)C(Cl)Cl)O,1.405
0.25,19.077,0.2,25,7,CC(=O)NC1=C(C(=C(C(=C1I)C(=O)O)I)NC(=O)C)I,1.25
0.14,0.19,1,25,7,CS(=O)(=O)C1=CC=C(C=C1)C(C(CF)NC(=O)C(Cl)Cl)O,1.21
0.05,50,0.5,25,6,CCN(CC)C1=CC=C(C=C1)C(=C2C=CC(=[N+](CC)CC)C=C2)C3=CC=CC=C3.OS(=O)(=O)[O-],0.662
0.2,2,4,25,3,C1(=C(C(=C(C(=C1Br)Br)Br)Br)Br)OC2=C(C(=C(C(=C2Br)Br)Br)Br)Br  ,0.927
0.25,14.4518,2,26,7,C(=C(Cl)Cl)Cl,1.76
0.25,19.077,0.5,25,7,CC(=O)NC1=C(C(=C(C(=C1I)C(=O)O)I)NC(=O)C)I,1.76
0.05,50,0.5,25,6,C1=CC=C(C=C1)N=NC2=C(C3=C(C(=C(C=C3C=C2S(=O)(=O)O)S(=O)(=O)O)N=NC4=CC=C(C=C4)[N+](=O)[O-])N)O  ,0.672
0.0632,1,0.5,30,7,C(Cl)(Cl)(Cl)Cl,1.094
0.09,100.3,1,25,7,CS(=O)(=O)C1=CC=C(C=C1)C(C(CF)NC(=O)C(Cl)Cl)O,0.704
0.0632,3,0.5,40,7,C(Cl)(Cl)(Cl)Cl,1.01
0.14,0.28,1,10,7,CS(=O)(=O)C1=CC=C(C=C1)C(C(CF)NC(=O)C(Cl)Cl)O,0.33
0.05,50,0.5,25,6,CN(C)C1=CC=C(C=C1)N=NC2=CC=C(C=C2)S(=O)(=O)[O-].[Na+] ,0.33
0.2,2,4,25,7.2,C1(=C(C(=C(C(=C1Br)Br)Br)Br)Br)OC2=C(C(=C(C(=C2Br)Br)Br)Br)Br  ,1.398
0.14,0.28,1,25,9,CS(=O)(=O)C1=CC=C(C=C1)C(C(CF)NC(=O)C(Cl)Cl)O,0.5625
0.035,0.28,1,25,7,CS(=O)(=O)C1=CC=C(C=C1)C(C(CF)NC(=O)C(Cl)Cl)O,0.2925
0.0632,5,0.5,30,7,C(Cl)(Cl)(Cl)Cl,0.6
0.0632,3,0.3,30,7,C(Cl)(Cl)(Cl)Cl,0.432
0.3333,14.4518,2,26,7,C(=C(Cl)Cl)Cl,1.59
0.17,14.4518,2,26,7,C(=C(Cl)Cl)Cl,0.63
0.05,50,1.5,25,6,C1=CC=C2C(=C1)C(=CC=C2S(=O)(=O)[O-])N=NC3=C4C=CC(=CC4=CC(=C3O)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+],1.542
0.2,20,0.5,40,7,C1CC(C(CCC(C(CCC(C1Br)Br)Br)Br)Br)Br,0.263
0.05,50,0.5,25,6,C1=CC(=CC=C1N=NC2C(=NN(C2=O)C3=CC=C(C=C3)S(=O)(=O)[O-])C(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+] ,0.378
0.05,19.077,2,25,7,CC(=O)NC1=C(C(=C(C(=C1I)C(=O)O)I)NC(=O)C)I,1.1
0.2,2,4,25,5,C1(=C(C(=C(C(=C1Br)Br)Br)Br)Br)OC2=C(C(=C(C(=C2Br)Br)Br)Br)Br  ,0.546
0.05,25,5,25,7,C(=C(Cl)Cl)Cl,0.24
0.188,10.5112,2,26,9,C(=C(Cl)Cl)Cl,1.38
0.25,19.077,1,25,7,CC(=O)NC1=C(C(=C(C(=C1I)C(=O)O)I)NC(=O)C)I,1.99
0.07,0.28,1,25,7,CS(=O)(=O)C1=CC=C(C=C1)C(C(CF)NC(=O)C(Cl)Cl)O,0.825
0.21,0.28,1,25,7,CS(=O)(=O)C1=CC=C(C=C1)C(C(CF)NC(=O)C(Cl)Cl)O,0.825
0.05,50,0.5,25,6,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3NC4=CC(=CC=C4)S(=O)(=O)CCOS(=O)(=O)[O-])S(=O)(=O)[O-])N.[Na+].[Na+]  ,0.564
0.05,50,0.25,25,6,C1=CC=C2C(=C1)C(=CC=C2S(=O)(=O)[O-])N=NC3=C4C=CC(=CC4=CC(=C3O)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+],0.27
0.05,50,0.5,25,10,C1=CC=C2C(=C1)C(=CC=C2S(=O)(=O)[O-])N=NC3=C4C=CC(=CC4=CC(=C3O)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+],0.606
0.25,19.077,2,25,7,CC(=O)NC1=C(C(=C(C(=C1I)C(=O)O)I)NC(=O)C)I,2.22
0.05,50,0.5,25,6,C1=CC(=CC=C1N=NC2=C(C=CC3=C2C=CC(=C3)S(=O)(=O)[O-])O)S(=O)(=O)[O-].[Na+].[Na+] ,0.918
0.2,20,2,20,7,C1CC(C(CCC(C(CCC(C1Br)Br)Br)Br)Br)Br,0.482
0.0632,3,0.5,10,7,C(Cl)(Cl)(Cl)Cl,0.45
0.0632,3,0.5,30,3,C(Cl)(Cl)(Cl)Cl,0.834
